title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
빛의 아버지: 파이널 판타지 XIV(Brave Father Online: Our Story of Final Fantasy XIV)	2019	movie	전체관람가	['드라마']	['일본']	['사카구치 켄타로', '요시다 코타로', '사쿠마 유이', '야마모토 마이카', '사토 류타', '자이젠 나오미']	['노구치 테루오', '야마모토 키요시']	114	['웨이브']
키마이라(Chimera)	2021	TV	15세이상관람가	['드라마', '스릴러']	['한국']	['박해수', '이희준', '수현', '윤지원']	['김도훈']		['티빙']
1%의 어떤 것(Something About 1%)	2003	TV		['드라마']	['한국', '미정']	['김정화', '강동원', '한혜진', '이병욱', '김지우']	['장근수']		['웨이브']
막돼먹은 영애씨 14()	2015	TV	15세이상관람가	['드라마']	['한국']	['김현숙', '라미란', '박선호', '이승준', '조덕제', '윤서현']	['한상재', '윤재순']		['티빙']
진화의 열매 ~모르는 사이 성공한 인생~()	2021	TV	15세이상관람가	['애니메이션']	['일본']	[]	['오쿠무라 요시아키']		['라프텔']
비즈니스맨 대 에이리언(Businessmen vs Aliens)	2018	TV		['코미디', 'SF']	['일본', '미정']	['이케타니 노부에', '니시노 나나세', '하시모토 준', '무로 츠요시', '카쿠 켄토', '스다 마사키']	[]		['아마존 프라임 비디오']
하늘재 살인사건()	2013	TV	15세이상관람가	['드라마']	['한국']	['문소리', '신동미', '서강준', '이세영', '성유빈']	[]		['웨이브']
맘마미안()	2021	TV	15세이상관람가	['예능']	['한국']	['강호동', '이수근', '이혜성', '목진화']	[]		['웨이브']
아름다운 그(My Beautiful Man)	2021	TV	15세이상관람가	['드라마']	['일본']	['하기와라 리쿠', '유세이 야기']	[]		['웨이브']
더 기프트 시즌 2(The Gift)	2020	TV	15세이상관람가	['드라마', '미스터리', '판타지']	['터키']	['베렌 사아트', '미멧 건저']	['고네닉 요닉', '오잔 아칙탄']		['넷플릭스']
레고 쥬라기 월드 : 비밀 전시회(Lego Jurassic World : The Secret Exhibit)	2018	movie	전체관람가	['애니메이션']	['미국']	[]	['앤드류 던칸']	43	['넷플릭스', 'seezn (더빙)', '아마존 프라임 비디오', '아마존 프라임 비디오']
베테랑(Veteran)	2014	movie	15세이상관람가	['드라마', '액션']	['한국']	['황정민', '유아인', '유해진', '오달수', '장윤주', '김시후', '오대환']	['류승완']	124	['넷플릭스', '티빙', '왓챠', '쿠팡플레이']
토이 스토리(Toy Story)	1995	movie	전체관람가	['코미디', '가족', '판타지', '애니메이션']	['미국']	['톰 행크스', '팀 알렌', '돈 리클스', '짐 바니', '월리스 쇼운', '존 라첸버거', '애니 파츠']	['존 라세터']	77	['디즈니+']
과속스캔들(Scandal Makers)	2008	movie	12세이상관람가	['코미디', '음악']	['한국']	['차태현', '박보영', '왕석현', '임지규', '황우슬혜', '임승대', '정원중']	['강형철']	108	['티빙', '쿠팡플레이']
말할 수 없는 비밀(Secret)	2007	movie	12세이상관람가	['드라마', '멜로/로맨스', '판타지', '음악']	['홍콩', '대만']	['주걸륜', '계륜미', '황추생', '증개현', '소명명', '송건창', '황준랑']	['주걸륜']	101	['넷플릭스', '웨이브', '티빙', '왓챠']
